,tweet
15272,rt funsizedyogi theblackvoic well els white ppl get us forget horrif past paint pretti pictur 
9351,funni thing isit peopl peopl see pic judg bird wrong
20323,rt winksosa aintshitsweet rakwonogod nigga mess wrong bitch  
3638, zgabrail    bitch ass nigggaaa
20579,real bitch
6674,miacoop speak time tryna make look bad like wasnt eat pussi 
13182,nah mimi bitch
115,domworldpeac basebal season win yanke love start
5163,worthbillion mystroapollo  alway hatin lmao
22847,whi nude call nude would rather like  hey girl send tit ass hoe 
18388,rt viixxiv  babi cookedba dinnerm bitch text 
2498, pussi ass schedul
21142,stay home bitch fuck u
24310,okay mani peopl realli care see girl nip shirt
4954, beaner drive em
23887,hahaha dumb bitch
6308,justpriss understand stop vent bitch give much insight life amp peopl dont deserv
6409,kiefferjason sbsylvest  bitch keep talk
18872,rt deecatanz lmao hoe day 
1199, bitch ham face  racheldor
12460,lilli tri climb tree bird complet fail oh god 
22708,see super bad bitch happen citi feel need shoot shot
13831,photo main  georgegia yessssss ladykimora turntup vega bitch  
1692, jordyn stay make fun eat like littl bitch
23781,dope bag pretti bitch side
19215,rt iamswagnific real hoe never let turn hous wife shell let know befor start catch 
22867,whi peopl use eggplant emoji refer dick dick purpl green top see doctor bruh
24387,red bone pusssi hairlessss
14603,rt  thompsonera hell yea ill rep shirt fam lol betterwithpet teamdonni hoe 
19463,rt kpipsforev nobodi want pussi  nigga done befor
8410,charbroil cod yellow rice  spinach artichok heart made love  
11177,ill let u clam top let dat nooki pop im dat cooki jar aint rooki girllll
18583,rt  yo bitch break start lol anoth nigga gone good bruh
18955,rt elchavaloko whiteponyjr  ericmarin see guy kick long hair faggot lil video game team
11325,im nice everyon dont let pretti smile confus becaus turn bitch nanosecond
1608,  singlebecaus ill find cute hoosier date next year   connorbradley
8293,call eddi hoe mistak doe lol
22052,hoe car smell like nigga let sweet potato bomb shit
17738,rt thevoiceofmiami got everi hoe see weak nigga
3015,detroitch bitch like mean someth
18597,rt awhook contrari belief us queer  go around look thing offend  cishetero say 
17962,rt vrtwxrkflash mac  lay floor like matress yungchipotl young base god came straight bitch
2988,deadjak cant stand peopl get fuck amp especi whini bitch even get scare
8349,cant neva sucka bitch aint
8019,big boob  ass ass  big boob big boob big ass  ugli face big boob  big ass  pretti face  hoe
21653,queer ass short rabchenko got
1553, ladi nigga alway wanna go parti everi weekend  basic side hoe 
10491,hate bitch like love much 
11208,im dick aint even got ya strap pussi
13225,never go full retard
1337, day unblock becom man wont happen  idisrespecthoez lol
2480,arlisdonotchil  bitch wit sammich
20540,ronni radk fuck fag fronz ass
23501,girl pussi smell like sour cream onion
5005, hoe
8121,bobbi bitch
15955,rt karlenaskiff could never date someon yellow 
20754,say want nigga like mebut bitch mad caus cant wifey
22590,hoe lol
5183,wyattnuckel think bitch
10133,cant stand see ex anoth ugli bitch 
23262,bitch make sick
4678,seymourblanco suppos hang w week nigger
8231,bump bitch file sexual harass work coworkeri aint shook life
10914,swear worri noth keep bitch radar im gay 
