class,tweet
2, rt mayasolov woman shouldnt complain clean hous amp man alway take trash
1, rt  boy dat coldtyga dwn bad cuffin dat hoe  place
1, rt urkindofbrand dawg rt  ever fuck bitch start cri confus shit
1, rt cganderson vivabas look like tranni
1, rt shenikarobert shit hear might true might faker bitch told ya 
1,tmadisonx shit blow meclaim faith somebodi still fuck hoe 
1,brighterday sit hate anoth bitch  got much shit go
1, caus im tire big bitch come us skinni 
1, amp might get ya bitch back amp 
1, rhythmixx hobbi includ fight mariambitch
1, keek bitch curv everyon  lol walk convers like smh
1, murda gang bitch gang land 
1, hoe smoke loser   yea  go ig
1, bad bitch onli thing like 
1, bitch get 
1, bitch nigga miss 
1, bitch plz whatev 
1, bitch love 
1, bitch get cut everyday b 
1, black bottl amp bad bitch 
1, broke bitch cant tell noth 
1, cancel bitch like nino 
1, cant see hoe wont chang 
1, fuck bitch dont even suck dick   kermit video bout fuck ig
1, got ya bitch tip toe hardwood floor   
1, pussi lip like heaven door  
1, hoe hit 
1, met pussi ocean dr  gave pussi pill  
1, need trippi bitch fuck hennessi 
1, spend money want bitch busi 
1, txt old bitch new bitch pussi wetter 
1, id say im back old old bitch would get excit  
1, aint bout murder game pussi nigga shut 
1, toe aint done pussi stink 
1, im done bitter bitch wrap  angri bird app 
1, ya bitch 
1, aint noth cut bitch 
1, jus meet son ya mane ass bitch  shot
1, lame cri hoe tear clown 
1, like snoop said  dont love hoe 
2, momma said pussi cat insid doghous 
1, hate hoe favorit   sevenon  
1, nice girl bad make get naughti bad yello hoe real nice bodi south chick like em real thick 
1, pimp pimp hoe  futur voic
1, post pictur pussi get  like 
1, pussi power drug   happyhumpday 
1, quick piec pussi call drive 
1, run round like brand new pussi bout get fuck 
1, bitch even worst theyll send guy 
1, hoe like nigga spend money talk bout 
1, dont trust nigga bitch 
1, yall nigga b cuf hoe caus yall aint never bitch 
1, dodg bullet    da bitch cut pregnant bound thank god 
1, young pill chamberlain bitch love music 
1, teanna trump probabl cleaner twitter hoe
1, gay nigga couldnt wait act like bitch tonight
1, ima steal cat n replac pitbul  rt  theparadox bitch
1,amp hes gone alway hoe
1,son bitch took tic tacsi like movi
1,wanna get money fuck model bitch  russel simmon
1, probabl  mind school much  deal bitch ass teacher retweet
1, im fuck fag said
1,arizzleindacut femal think date pussi cute  doe stuff make pussi
2, simplyaddictedtoguy  woof woof hot scalli lad
1,adorebellaaa ya ever ask bitch bitch  kany voic yes
1,adorezoey u gone bring ur side bitch game know ya gf friend   swear
2,allaboutmanfeet  woof woof hot sole
2,allyhaaaaa lemmi eat oreo amp dish one oreo lol
1,almightywayn jetsandaswish gook bitch fuck u  mayb youll get better 
1,almightywayn fuck red malon man bitch ass niggah could pleas use complet sentenc
2, whi eggplant emoji doey say look like scream lmao
1,autoworid hennessey venom gt   one sexi bitch
1,bossbytchh seh pussi wetter shower curtainahmesehwetnessltlmao
1, eaglesn everi eagl need see pic post becaus bitch said racist shit
1,bvsedchink yo fuck skateboard yall wood push faggot man ball life amjemiebenn
2,babyanimalp babi monkey bathtim awwww soooo ador
1,baylaagottabodi  aint shit  damn skippi lol
1,beeasyjrizzi u ever kill ant sidewalk think damn nigga way get pussyno bs must b 
1,beenbasedb kudabrazyy   ring  mvps  bitch lol
1,beenflynsolo ppl talk bad ghettohood  kid grow nigga funnnnnnn 
1,bestproadvic fact tattoostattoo  hes pussi tattoo nippl
1,  rt nelayden bitch want act like nigga bad  shit aint cuteeee nigga act like bitch
1, get worship bitch  woof woof
1,blackchiquitita wow rt thatmanpalm im lost buttcheek pierc  yeah shes hoe
1,blacknerdjad ok sis shed rather broke bitch shrug shell tell work
0, whalelookyher  queer gaywad
1,brokenpiecesmsc itsnotadam faggot read tweet dat k wasnt even funni lol
